"day","mod","dod","deaths","temp_min","temp_max","temp_mean","humidity","wind","NO","NO2","NOX","O3","CO","SO2","PM10","PM25"
2008-07-02,7,2,221,NA,NA,NA,NA,NA,0.0311666666666667,0.030375,0.0615,NA,NA,0.000833333333333333,40.6666666666667,40.6666666666667
2008-07-03,7,3,263,NA,NA,NA,NA,NA,0.022625,0.0315416666666667,0.054125,0.0115416666666667,1.62083333333333,0.00266666666666667,NA,NA
2008-07-04,7,4,238,NA,NA,NA,NA,NA,0.01575,0.031,0.0466666666666667,0.0150833333333333,1.50833333333333,NA,NA,NA
2008-07-05,7,5,269,NA,NA,NA,NA,NA,0.011625,0.0241666666666667,0.0355416666666667,0.01325,1.34583333333333,0.00104166666666667,41.2083333333333,41.2083333333333
2008-07-06,7,6,247,NA,NA,NA,NA,NA,NA,NA,NA,0.0124166666666667,1.31666666666667,NA,41.25,41.25
2008-07-07,7,7,249,NA,NA,NA,NA,NA,0.02975,0.017125,0.04675,0.00316666666666667,1.32916666666667,NA,NA,NA
2008-07-08,7,8,277,NA,NA,NA,NA,NA,0.0405416666666667,0.018625,0.0590833333333333,0.002375,2.0875,0.000458333333333333,NA,NA
2008-07-09,7,9,243,NA,NA,NA,NA,NA,0.0328333333333333,0.018,0.05075,0.00533333333333333,1.4125,NA,NA,NA
2008-07-10,7,10,250,NA,NA,NA,NA,NA,0.014,0.0157916666666667,0.0297083333333333,0.00983333333333333,1.27916666666667,0.00120833333333333,36.2083333333333,36.2083333333333
2008-07-11,7,11,244,NA,NA,NA,NA,NA,0.0184583333333333,0.0172916666666667,0.03575,0.0105833333333333,1.31666666666667,NA,40.375,40.375
2008-07-12,7,12,270,NA,NA,NA,NA,NA,0.0214166666666667,0.0168333333333333,0.0381666666666667,NA,NA,0.00366666666666667,41.375,41.375
2008-07-13,7,13,287,NA,NA,NA,NA,NA,0.00975,0.0120833333333333,0.0215416666666667,0.0251666666666667,0.795833333333333,NA,26.7916666666667,26.7916666666667
2008-07-14,7,14,268,15.8,23.2,17.8571428571429,NA,2.28571428571429,0.017,0.016375,0.033375,NA,NA,0.000666666666666667,38.7916666666667,38.7916666666667
2008-07-15,7,15,253,14.3,24.4,18.6875,64.0833333333333,2.025,0.015375,0.0112083333333333,0.0265833333333333,0.0195833333333333,0.704166666666667,NA,NA,NA
2008-07-16,7,16,268,14.2,24.1,18.4380952380952,NA,1.77619047619048,NA,NA,NA,0.0244583333333333,0.675,0.008875,NA,NA
2008-07-17,7,17,230,13.1,24.2,17.2571428571429,NA,1.53333333333333,NA,NA,NA,0.0192916666666667,1.1375,NA,32.25,32.25
2008-07-18,7,18,264,12.9,23.6,16.5333333333333,71.7083333333333,1.26666666666667,NA,NA,NA,0.0192083333333333,1.375,0.003125,NA,NA
