"text","created","longitude","latitude","tag"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 08:18:42,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 08:02:02,NA,NA,"#PorteOuverte"
"Le mie pi√π sincere condoglianze alle famiglie colpite dagli attentati a Parigi

#PorteOuverte‚Ä¶ https://t.co/6YRsW4Oe8A",2015-11-14 07:26:10,2.3508,48.8567,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ Hotel Napoleon Avenue De Friedland Paris 08 https://t.co/9twFaGZrqJ",2015-11-14 07:12:49,2.2980399,48.8742485,"#PorteOuverte"
"If in #Paris and need a #SafeHouse, use #PorteOuverte (especially on #Twitter) to find kind Parisians‚Ä¶ https://t.co/JrGLmgiOft",2015-11-14 07:03:48,2.34812112,48.85403318,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ Arc de Triomphe https://t.co/yjeiKyJQaJ",2015-11-14 06:59:45,2.295,48.8738,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ Pont de l'Alma https://t.co/MfXbWZsLAJ",2015-11-14 06:56:47,2.30166667,48.86416667,"#PorteOuverte"
"#porteouverte #paris #now @ mus√©e du quai Branly https://t.co/hhZxBmQHqr",2015-11-14 06:51:28,2.297642,48.8614388,"#PorteOuverte"
"#paris Maintenant il faut ne pas oublier nos valeurs

#prayforparis #porteouverte #parisattacks #Ì†ºÌ∑´Ì†ºÌ∑∑‚Ä¶ https://t.co/ha0pmJ8SVC",2015-11-14 06:02:40,2.3508,48.8567,"#PorteOuverte"
"I see humans, not humanity. #stop #prayforparis #paris #france #parisinmymind #peace #porteouverte‚Ä¶ https://t.co/Rq9d0Xr1Mh",2015-11-14 05:49:44,2.3508,48.8567,"#PorteOuverte"
"RT @MBrancourt: #PorteOuverte  https://t.co/3VFqGFPQry",2015-11-14 05:47:07,NA,NA,"#PorteOuverte"
"#PorteOuverte = fais attention/watch out for evil and get safe somewhere‚Ä¶ https://t.co/vTspN8Mutj",2015-11-14 05:31:13,2.3508,48.8567,"#PorteOuverte"
"RT @trendinaliaFR: 1. #PrayForParis
2. #PorteOuverte
3. #NousSommesUnis
4. Que Dieu
5. #tristesse

2015/11/14 05:36 CET #trndnl https://t.c‚Ä¶",2015-11-14 05:12:11,NA,NA,"#PorteOuverte"
"#PorteOuverte

#PrayforparIS @ Paris, France https://t.co/FHipq0l9OS",2015-11-14 05:03:55,2.3508,48.8567,"#PorteOuverte"
"Praying for everyone in #Paris #porteouverte @ Cath√©drale Notre-Dame de Paris https://t.co/1vXXRDRASb",2015-11-14 04:44:04,2.34812112,48.85403318,"#PorteOuverte"
"1. #PrayForParis
2. #PorteOuverte
3. #NousSommesUnis
4. Que Dieu
5. #tristesse

2015/11/14 05:36 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 04:40:31,2.3412,48.8569,"#PorteOuverte"
"1. #PrayForParis
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Que Dieu

2015/11/14 05:16 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 04:20:30,2.3412,48.8569,"#PorteOuverte"
"Je t'aime Paris Ì†ºÌ∑´Ì†ºÌ∑∑Ì†ΩÌ≤î #prayforparis #porteouverte @ Paris, France https://t.co/q9BW3FBp1k",2015-11-14 04:08:00,2.3508,48.8567,"#PorteOuverte"
"My heart is with you .. #prayforparis #Porteouverte for shelter in Paris. Stay strong !  Helpline‚Ä¶ https://t.co/8lcLFtH8El",2015-11-14 04:05:10,2.3508,48.8567,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 04:56 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 04:00:35,2.3412,48.8569,"#PorteOuverte"
"#jesuisparis #porteouverte #prayforparis #prayingforparis #paris @ Jardin du Luxembourg https://t.co/FcgEsryWv2",2015-11-14 03:55:28,2.33777234,48.84692561,"#PorteOuverte"
"RT @trendinaliaFR: 1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 04:36 CET #trndnl https://t.co/iQIQ3‚Ä¶",2015-11-14 03:53:44,NA,NA,"#PorteOuverte"
